Fare,Embarked,Age,Parch,Pclass,Sex,Survived,SibSp
7.7417,Q,25.0,0,3,male,0,0
7.8542,S,26.0,0,3,male,0,1
26.0,S,39.0,0,2,male,0,0
13.5,S,45.0,0,2,female,1,0
26.2875,S,42.0,0,1,male,1,0
151.55,S,22.0,0,1,female,1,0
15.2458,C,,1,3,male,1,1
49.5042,C,24.0,0,1,female,1,0
26.55,S,,0,1,male,0,0
52.0,S,48.0,0,1,male,1,1
9.4833,S,29.0,0,3,male,0,0
13.0,S,52.0,0,2,male,0,0
7.65,S,19.0,0,3,male,0,0
227.525,C,38.0,0,1,female,1,0
10.5,S,27.0,0,2,female,1,0
15.5,Q,,0,3,male,0,0
7.775,S,33.0,0,3,male,0,0
33.0,S,6.0,1,2,female,1,0
7.0542,S,17.0,0,3,male,0,1
13.0,S,34.0,0,2,male,0,0
13.0,S,50.0,0,2,male,0,0
53.1,S,27.0,0,1,male,1,1
8.6625,S,20.0,0,3,male,0,0
21.0,S,30.0,0,2,female,1,3
7.7375,Q,,0,3,female,1,0
26.0,S,25.0,0,2,male,0,1
7.925,S,25.0,0,3,female,0,1
211.3375,S,29.0,0,1,female,1,0
18.7875,C,11.0,0,3,male,0,0
0.0,S,,0,2,male,0,0
13.0,S,23.0,0,2,male,0,0
13.0,S,23.0,0,2,male,0,0
16.1,S,28.5,0,3,male,0,0
34.375,S,48.0,3,3,female,0,1
512.3292,C,35.0,0,1,male,1,0
7.8958,S,,0,3,male,0,0
7.8958,S,,0,3,male,0,0
30.0,S,,0,1,male,1,0
78.85,S,36.0,0,1,male,0,1
262.375,C,21.0,2,1,female,1,2
16.1,S,24.0,0,3,male,0,1
7.925,S,31.0,0,3,male,1,0
71.0,S,70.0,1,1,male,0,1
20.25,S,16.0,1,3,male,0,1
13.0,S,30.0,0,2,female,1,0
53.1,S,19.0,0,1,male,0,1
7.75,Q,31.0,0,3,male,0,0
23.0,S,4.0,1,2,female,1,1
12.475,S,6.0,1,3,male,1,0
9.5,S,33.0,0,3,male,0,0
7.8958,S,23.0,0,3,male,0,0
65.0,S,48.0,2,2,female,1,1
14.5,S,0.67,1,2,male,1,1
7.7958,S,28.0,0,3,male,0,0
11.5,S,18.0,0,2,male,0,0
8.05,S,34.0,0,3,male,0,0
86.5,S,33.0,0,1,female,1,0
14.5,S,,0,3,male,0,0
7.125,S,41.0,0,3,male,0,0
7.2292,C,20.0,0,3,male,1,0
120.0,S,36.0,2,1,female,1,1
7.775,S,16.0,0,3,male,0,0
77.9583,S,51.0,0,1,female,1,1
39.6,C,,0,1,male,0,0
7.75,Q,30.5,0,3,female,0,0
24.15,Q,,0,3,male,0,1
8.3625,S,32.0,0,3,male,0,0
9.5,S,24.0,0,3,male,0,0
7.8542,S,48.0,0,3,male,0,0
10.5,S,57.0,0,2,female,0,0
7.225,C,,0,3,male,0,0
23.0,S,54.0,3,2,female,1,1
7.75,S,18.0,0,3,male,0,0
7.75,Q,,0,3,male,0,0
12.475,S,5.0,0,3,female,1,0
7.7375,Q,,0,3,male,0,0
211.3375,S,43.0,1,1,female,1,0
7.2292,C,13.0,0,3,female,1,0
57.0,S,17.0,0,1,female,1,1
30.0,S,29.0,0,1,male,0,0
23.45,S,,2,3,male,0,1
7.05,S,25.0,0,3,male,0,0
7.25,S,25.0,0,3,male,0,0
7.4958,S,18.0,0,3,female,1,0
29.125,Q,8.0,1,3,male,0,4
20.575,S,1.0,2,3,male,1,1
79.2,C,46.0,0,1,male,0,0
7.75,Q,,0,3,male,0,0
26.0,S,16.0,0,2,male,0,0
69.55,S,,2,3,female,0,8
30.6958,C,,0,1,male,0,0
7.8958,S,25.0,0,3,male,0,0
13.0,S,39.0,0,2,male,0,0
25.9292,S,49.0,0,1,female,1,0
8.6833,S,31.0,0,3,female,1,0
7.2292,C,30.0,0,3,male,0,0
24.15,S,30.0,1,3,female,0,1
13.0,S,34.0,0,2,male,0,0
26.25,S,31.0,1,2,female,1,1
120.0,S,11.0,2,1,male,1,1
8.5167,C,0.42,1,3,male,1,0
6.975,S,27.0,0,3,male,1,0
7.775,S,31.0,0,3,male,0,0
0.0,S,39.0,0,1,male,0,0
7.775,S,18.0,0,3,female,0,0
13.0,S,39.0,0,2,male,0,0
53.1,S,33.0,0,1,female,1,1
7.8875,S,26.0,0,3,male,0,0
24.15,S,39.0,0,3,male,0,0
10.5,S,35.0,0,2,male,0,0
31.275,S,6.0,2,3,female,0,4
8.05,S,30.5,0,3,male,0,0
0.0,S,,0,1,male,0,0
7.925,S,23.0,0,3,female,0,0
37.0042,C,31.0,1,2,male,0,1
6.45,S,43.0,0,3,male,0,0
27.9,S,10.0,2,3,male,0,3
93.5,S,52.0,1,1,female,1,1
8.6625,S,27.0,0,3,male,1,0
0.0,S,38.0,0,1,male,0,0
12.475,S,27.0,1,3,female,1,0
39.6875,S,2.0,1,3,male,0,4
6.95,Q,,0,3,male,0,0
56.4958,S,,0,3,male,0,0
37.0042,C,1.0,2,2,male,1,0
7.75,Q,,0,3,male,1,0
80.0,,62.0,0,1,female,1,0
14.4542,C,15.0,0,3,female,1,1
18.75,S,0.83,1,2,male,1,1
7.2292,C,,0,3,male,0,0
7.8542,S,23.0,0,3,male,0,0
8.3,S,18.0,0,3,male,0,0
83.1583,C,39.0,1,1,female,1,1
8.6625,S,21.0,0,3,male,0,0
8.05,S,,0,3,male,0,0
56.4958,S,32.0,0,3,male,1,0
29.7,C,,0,1,male,1,0
7.925,S,20.0,0,3,male,0,0
10.5,S,16.0,0,2,male,0,0
31.0,C,30.0,0,1,female,1,0
6.4375,C,34.5,0,3,male,0,0
8.6625,S,17.0,0,3,male,0,0
7.55,S,42.0,0,3,male,0,0
69.55,S,,2,3,male,0,8
7.8958,C,35.0,0,3,male,0,0
33.0,S,28.0,1,2,male,0,0
89.1042,C,,0,1,female,1,1
31.275,S,4.0,2,3,male,0,4
7.775,S,74.0,0,3,male,0,0
15.2458,C,9.0,1,3,female,0,1
39.4,S,16.0,1,1,female,1,0
26.0,S,44.0,0,2,female,0,1
9.35,S,18.0,1,3,female,1,0
164.8667,S,45.0,1,1,female,1,1
26.55,S,51.0,0,1,male,1,0
19.2583,C,24.0,3,3,female,1,0
7.2292,C,,0,3,male,0,0
14.1083,S,41.0,0,3,male,0,2
11.5,S,21.0,0,2,male,0,1
25.9292,S,48.0,0,1,female,1,0
69.55,S,,2,3,female,0,8
13.0,S,24.0,0,2,male,0,0
13.0,S,42.0,0,2,female,1,0
13.8583,C,27.0,0,2,female,1,1
50.4958,S,31.0,0,1,male,0,0
9.5,S,,0,3,male,0,0
11.1333,S,4.0,1,3,male,1,1
7.8958,S,26.0,0,3,male,0,0
52.5542,S,47.0,1,1,female,1,1
5.0,S,33.0,0,1,male,0,0
9.0,S,47.0,0,3,male,0,0
24.0,C,28.0,0,2,female,1,1
7.225,C,15.0,0,3,female,1,0
9.8458,S,20.0,0,3,male,0,0
7.8958,S,19.0,0,3,male,0,0
7.8958,S,,0,3,male,0,0
83.1583,C,56.0,1,1,female,1,0
26.0,S,25.0,1,2,female,1,0
7.8958,S,33.0,0,3,male,0,0
10.5167,S,22.0,0,3,female,0,0
10.5,S,28.0,0,2,male,0,0
7.05,S,25.0,0,3,male,0,0
29.125,Q,39.0,5,3,female,0,0
13.0,S,27.0,0,2,male,0,0
30.0,S,19.0,0,1,female,1,0
23.45,S,,2,3,female,0,1
30.0,C,26.0,0,1,male,1,0
7.75,Q,32.0,0,3,male,0,0
